,hex9,value
283,891f165292bffff,413.65057
284,891f165290fffff,215.63455
285,891f165293bffff,179.9144
286,891f1652923ffff,125.36615
287,891f1652903ffff,108.64805
288,891f1652943ffff,894.8461
289,891f1652947ffff,556.403
290,891f1652953ffff,496.83768
291,891f1652957ffff,575.52814
292,891f165290bffff,161.60724
293,891f16529cbffff,215.24692
294,891f16529cfffff,252.17995
295,891f165291bffff,337.51547
296,891f16529c3ffff,246.4423
297,891f1652913ffff,130.84984
298,891f1652817ffff,924.33374
299,891f16528abffff,867.6492
300,891f16528afffff,683.1455
301,891f16529dbffff,440.29166
302,891f16528bbffff,536.73956
303,891f16528a3ffff,522.6826
304,891f16528a7ffff,257.1485
305,891f16528b3ffff,234.23793
306,891f1652d4bffff,398.03607
307,891f1652d4fffff,706.6153
308,891f1652907ffff,235.01105
309,891f1652933ffff,378.3011
310,891f1652937ffff,549.7879
311,891f1652917ffff,369.55612
312,891f16529abffff,708.39813
313,891f16529afffff,908.2853
314,891f165298fffff,246.67773
315,891f16529bbffff,512.94434
316,891f16529a3ffff,887.54395
317,891f16529a7ffff,1142.9471
318,891f1652327ffff,756.4575
319,891f1652337ffff,1273.607
320,891f1652edbffff,1490.1741
321,891f16523a7ffff,2011.3588
322,891f1652ed3ffff,1809.6959
323,891f16523b7ffff,2505.7236
324,891f165216bffff,2278.7302
325,891f165217bffff,2768.486
326,891f1652163ffff,2535.2505
327,891f1652147ffff,3270.2056
328,891f16521cbffff,4494.356
329,891f1652173ffff,3028.2583
330,891f1652157ffff,3767.7847
331,891f165210bffff,3530.9712
332,891f165210fffff,3268.9653
333,891f165211bffff,3995.901
334,891f1652103ffff,3710.7808
335,891f1652107ffff,3209.0188
336,891f16521c7ffff,4463.839
337,891f1652113ffff,3995.0684
338,891f1652117ffff,3427.717
339,891f16c8b43ffff,458.23535
340,891f16c8bcfffff,1033.8121
341,891f16c8bc3ffff,1534.4296
342,891f16c8bd3ffff,2053.069
343,891f16c8bd7ffff,1717.8619
344,891f16c886bffff,2027.8373
345,891f16c886fffff,2085.2334
346,891f16c8b9bffff,1749.2002
347,891f16c8863ffff,1815.6165
348,891f16c8867ffff,1792.141
349,891f16c8873ffff,1422.7864
350,891f16c8877ffff,1379.2562
351,891f16c8853ffff,550.23267
352,891f16c882bffff,1387.7981
353,891f16c8857ffff,932.9799
354,891f16c880bffff,975.3505
355,891f16c8e23ffff,548.7536
356,891f16c8e27ffff,180.08066
357,891f16c8e07ffff,510.8162
358,891f16c8e33ffff,523.2537
359,891f16c8e37ffff,311.4411
360,891f16c8e17ffff,113.42269
361,891f16c880fffff,963.9602
362,891f16c88cbffff,236.23375
363,891f16c883bffff,932.944
364,891f16c88cfffff,529.537
365,891f16c881bffff,572.34076
366,891f16c8803ffff,599.1538
367,891f16c8807ffff,496.046
368,891f16c88c3ffff,110.6568
369,891f16c8833ffff,447.95108
370,891f16c88c7ffff,167.82353
371,891f16c8e8fffff,407.0759
372,891f16c8e83ffff,865.4712
373,891f16c8e97ffff,1265.4794
374,891f16c8eabffff,142.23358
375,891f16c8eafffff,135.19344
376,891f16c88dbffff,72.61825
377,891f16c8ebbffff,412.9257
378,891f16c8ea3ffff,365.36435
379,891f16c8ea7ffff,214.54579
380,891f16c8e87ffff,836.0076
381,891f16c8eb3ffff,797.7198
382,891f16c8eb7ffff,652.60754
383,891f16c8c6bffff,210.5847
384,891f16c8813ffff,245.13437
385,891f16c8817ffff,151.69041
386,891f16c88d3ffff,137.40862
387,891f16c88abffff,144.26404
388,891f16c88d7ffff,286.04678
389,891f16c88afffff,127.30802
390,891f16c888bffff,337.40982
391,891f16c888fffff,444.3445
392,891f16c88bbffff,381.61066
393,891f16c8c6fffff,353.93933
394,891f16551bbffff,189.2751
395,891f16551a3ffff,228.39174
396,891f16551b3ffff,189.78026
397,891f16551b7ffff,228.60231
398,891f1655197ffff,52.428185
399,891f165424bffff,148.69118
400,891f165424fffff,222.91501
401,891f165427bffff,214.52592
402,891f165425bffff,219.53325
403,891f1654243ffff,335.43536
404,891f1654247ffff,242.89742
405,891f1655527ffff,514.67847
406,891f1654253ffff,191.349
407,891f1654257ffff,432.24667
408,891f165420bffff,360.2727
409,891f16542cbffff,423.08688
410,891f16542cfffff,169.85982
411,891f165421bffff,577.28705
412,891f16542c3ffff,329.3974
413,891f16542c7ffff,197.14566
414,891f1654213ffff,607.9473
415,891f16542d3ffff,732.49725
416,891f16542d7ffff,306.68567
417,891f165428bffff,151.89049
418,891f165428fffff,425.14685
419,891f165466bffff,1196.2413
420,891f165466fffff,748.09
421,891f165429bffff,313.4413
422,891f1654283ffff,294.8807
423,891f165467bffff,1639.2102
424,891f1654643ffff,2531.3633
425,891f1654647ffff,2062.223
426,891f1654673ffff,1646.0247
427,891f1654653ffff,2843.2075
428,891f1654657ffff,2454.0513
429,891f165730fffff,3247.259
430,891f1657303ffff,2756.814
431,891f1657307ffff,3117.3425
432,891f1654663ffff,1200.6838
433,891f1654667ffff,824.1664
434,891f1654293ffff,646.7503
435,891f1654297ffff,554.38776
436,891f1654677ffff,1310.183
437,891f165462bffff,1123.8241
438,891f165462fffff,1017.81824
439,891f165460fffff,1830.0836
440,891f165463bffff,1576.1982
441,891f1654623ffff,1369.2747
