,hex9,value
288,891f160109bffff,98.75045
289,891f16010a3ffff,63.17289
290,891f16010a7ffff,47.0802
291,891f16010abffff,71.351036
292,891f16010afffff,62.85854
293,891f16010b3ffff,65.9302
294,891f16010b7ffff,54.18912
295,891f16010bbffff,74.20967
296,891f16010c3ffff,111.856926
297,891f16010c7ffff,102.80613
298,891f16010cbffff,108.85311
299,891f16010cfffff,106.22716
300,891f16010d3ffff,114.1128
301,891f16010d7ffff,106.307465
302,891f1601103ffff,31.059597
303,891f1601107ffff,21.526552
304,891f160110bffff,37.13256
305,891f160110fffff,27.401594
306,891f1601113ffff,26.374422
307,891f1601117ffff,22.27202
308,891f160111bffff,37.14415
309,891f1601123ffff,6.1535964
310,891f1601127ffff,2.6385279
311,891f160112bffff,14.460062
312,891f160112fffff,4.5275693
313,891f1601133ffff,10.455109
314,891f1601137ffff,2.544502
315,891f160113bffff,17.285332
316,891f1601143ffff,52.607574
317,891f1601147ffff,42.7771
318,891f160114bffff,54.971767
319,891f160114fffff,44.712906
320,891f1601153ffff,53.563255
321,891f1601157ffff,48.381035
322,891f160115bffff,62.368916
323,891f1601163ffff,24.994833
324,891f1601167ffff,15.390066
325,891f160116bffff,26.865042
326,891f160116fffff,17.498974
327,891f1601173ffff,33.326317
328,891f1601177ffff,24.149363
329,891f160117bffff,34.94107
330,891f1601183ffff,15.906914
331,891f1601187ffff,6.0675373
332,891f160118bffff,22.332798
333,891f160118fffff,16.27835
334,891f1601197ffff,5.834494
335,891f160119bffff,22.54262
336,891f16011a3ffff,10.17157
337,891f16011a7ffff,2.5903487
338,891f16011abffff,14.578805
339,891f16011afffff,4.827265
340,891f16011b3ffff,7.6637053
341,891f16011b7ffff,2.853936
342,891f16011bbffff,13.006819
343,891f16011c3ffff,40.417564
344,891f16011c7ffff,32.448112
345,891f16011cbffff,52.08946
346,891f16011cfffff,43.512894
347,891f16011d3ffff,41.9297
348,891f16011d7ffff,31.759201
349,891f16011dbffff,50.35873
350,891f1601203ffff,51.973927
351,891f1601207ffff,57.166355
352,891f160120bffff,46.238415
353,891f160120fffff,48.351875
354,891f1601213ffff,62.917862
355,891f1601217ffff,66.85905
356,891f160121bffff,54.629505
357,891f1601223ffff,60.05824
358,891f1601227ffff,67.78178
359,891f160122bffff,47.98482
360,891f160122fffff,57.442043
361,891f1601233ffff,62.137604
362,891f1601237ffff,69.97583
363,891f160123bffff,54.045364
364,891f1601247ffff,34.896317
365,891f160124bffff,26.17922
366,891f1601253ffff,46.722496
367,891f1601257ffff,43.641426
368,891f160125bffff,40.727917
369,891f1601263ffff,31.903055
370,891f1601267ffff,38.987854
371,891f160126bffff,23.362165
372,891f160126fffff,28.719606
373,891f1601273ffff,36.198135
374,891f1601277ffff,41.146698
375,891f160127bffff,26.82438
376,891f1601283ffff,80.084045
377,891f1601287ffff,82.40722
378,891f160128bffff,70.68842
379,891f160128fffff,72.452965
380,891f1601293ffff,88.51483
381,891f1601297ffff,90.07123
382,891f160129bffff,80.17935
383,891f16012a3ffff,80.00367
384,891f16012a7ffff,85.39418
385,891f16012abffff,71.3499
386,891f16012afffff,78.13944
387,891f16012b3ffff,85.621086
388,891f16012b7ffff,90.79546
389,891f16012bbffff,74.525505
390,891f16012c3ffff,63.813644
391,891f16012c7ffff,62.270535
392,891f16012cbffff,56.44784
393,891f16012cfffff,55.35726
394,891f16012d3ffff,72.82935
395,891f16012d7ffff,71.201965
396,891f16012dbffff,66.713615
397,891f1601303ffff,59.71097
398,891f1601307ffff,49.184185
399,891f160130bffff,64.16583
400,891f160130fffff,53.10511
401,891f1601313ffff,65.862885
402,891f1601317ffff,56.15043
403,891f160131bffff,70.421555
404,891f1601323ffff,31.739338
405,891f1601327ffff,21.30917
406,891f160132bffff,36.81957
407,891f160132fffff,25.952402
408,891f1601333ffff,38.985355
409,891f1601337ffff,29.002306
410,891f160133bffff,42.395035
411,891f1601343ffff,72.42237
412,891f1601347ffff,69.66505
413,891f160134bffff,66.106964
414,891f160134fffff,72.42465
415,891f1601353ffff,76.35037
416,891f1601357ffff,74.16665
417,891f160135bffff,65.3635
418,891f1601363ffff,54.61532
419,891f1601367ffff,43.789246
420,891f160136bffff,58.194843
421,891f160136fffff,48.09808
422,891f1601373ffff,58.817383
423,891f1601377ffff,47.838806
424,891f160137bffff,65.08929
425,891f160138bffff,73.26449
426,891f160138fffff,60.73846
427,891f1601393ffff,76.46887
428,891f1601397ffff,66.071754
429,891f160139bffff,79.37711
430,891f16013a3ffff,39.79141
431,891f16013a7ffff,29.451883
432,891f16013abffff,45.004395
433,891f16013afffff,35.400524
434,891f16013b3ffff,45.347935
435,891f16013b7ffff,37.09662
436,891f16013bbffff,50.27392
437,891f16013c3ffff,85.9928
438,891f16013c7ffff,77.66884
439,891f16013cbffff,77.81683
440,891f16013cfffff,80.73315
441,891f16013d3ffff,92.61403
442,891f16013d7ffff,81.56907
