,hex9,value,color
46,89196ba84a7ffff,35580493,[253, 159, 108]
47,8919694f283ffff,27465571,[254, 181, 124]
48,89196ba8537ffff,26177842,[254, 185, 127]
49,891fa496547ffff,3213926,[254, 168, 115]
50,89196ba334bffff,25039365,[254, 188, 130]
51,8919696334bffff,13601924,[253, 220, 157]
52,891969613d7ffff,13326818,[253, 220, 157]
53,89196ba34d3ffff,18511923,[253, 207, 146]
54,89196bbb187ffff,17406476,[253, 209, 147]
55,89196bb6a43ffff,10474321,[252, 227, 165]
56,89196ba26d7ffff,8756834,[252, 232, 170]
57,89196978987ffff,15700281,[253, 214, 152]
58,8919697ad4fffff,20463726,[254, 201, 141]
59,89196b33113ffff,2355607,[254, 192, 133]
60,8919694cb6bffff,2277253,[254, 194, 134]
61,8919682cb8fffff,2517379,[254, 188, 130]
62,89196bb5bc3ffff,15236769,[253, 214, 152]
63,89196b9635bffff,18324203,[253, 207, 146]
64,89196bae56fffff,18223872,[253, 207, 146]
65,89196b328b3ffff,13777046,[253, 220, 157]
66,89196940bb3ffff,18200289,[253, 207, 146]
67,8919694124fffff,9910632,[252, 229, 166]
68,891969605d3ffff,15187487,[253, 214, 152]
69,89196bb507bffff,14718213,[253, 216, 154]
70,8919694e1abffff,19018146,[253, 205, 144]
71,89196941c6fffff,9348272,[252, 230, 168]
72,8919694e813ffff,4524532,[251, 132, 96]
73,89196ba8973ffff,5014011,[248, 117, 92]
74,8919694cac7ffff,45704756,[250, 130, 95]
75,89196b16b0fffff,49783447,[248, 119, 92]
76,89196b17307ffff,41019956,[252, 144, 100]
77,891969401a3ffff,45671367,[250, 130, 95]
78,89196b32c47ffff,4091857,[252, 144, 100]
79,8919694ca93ffff,5464119,[245, 106, 91]
80,89196bb6867ffff,5890282,[239, 94, 93]
81,89196b845a7ffff,5339813,[246, 110, 91]
82,89196bb44cfffff,4319099,[251, 138, 98]
83,89196bb562fffff,4648301,[250, 128, 94]
84,89196b858dbffff,43368706,[251, 138, 98]
85,89196948ecbffff,4789733,[249, 125, 93]
86,89196b17103ffff,37952024,[253, 153, 105]
87,89196bab507ffff,41757905,[252, 142, 99]
88,89196959e17ffff,40424094,[252, 146, 101]
89,89196968463ffff,55100127,[244, 104, 91]
90,89196bb2bd3ffff,58964634,[239, 94, 93]
91,89196bb1d27ffff,5650271,[243, 101, 92]
92,89196b364c3ffff,5980262,[238, 93, 93]
93,89196bbab8fffff,50393164,[248, 117, 92]
94,89196968657ffff,54507417,[245, 106, 91]
95,89196b04a67ffff,5144736,[247, 115, 92]
96,89196ba6027ffff,37658713,[253, 153, 105]
97,8919694d493ffff,4342608,[251, 136, 97]
98,89196bba343ffff,36780515,[253, 155, 106]
