,hex8,Value,lat,lng,suitability
2191,881f16ce01fffff,0.83210075,52.33207101633711,6.538481191369712,83.2
2192,881f16ce03fffff,0.9507244,52.33113322071999,6.5509940650716345,95.1
2193,881f16ce05fffff,0.8301055,52.32609131960351,6.529668292920185,83.0
2194,881f16ce07fffff,0.9332277,52.32515417186112,6.54217949739347,93.3
2195,881f16ce09fffff,0.689012,52.33898687813243,6.53478219240945,68.9
2196,881f16ce0bfffff,0.8253546,52.33804983978451,6.547296152225031,82.5
2197,881f16ce0dfffff,0.6959905,52.33300740675685,6.525968901323883,69.6
2198,881f16ce11fffff,0.83256155,52.3361715463182,6.572325819586461,83.3
2199,881f16ce13fffff,0.7609299,52.33523029074159,6.584841524825142,76.1
2200,881f16ce15fffff,0.8907731,52.33019401967606,6.56350752127683,89.1
2201,881f16ce17fffff,0.82275754,52.32925341297619,6.576021558832085,82.3
2202,881f16ce19fffff,0.7960765,52.34308869699846,6.568629387490199,79.6
2203,881f16ce1bfffff,0.7537139,52.34214819846338,6.581146180299386,75.4
2204,881f16ce1dfffff,0.89477795,52.33711139592285,6.559810695001843,89.5
2205,881f16ce23fffff,0.8758549,52.31225619748072,6.537064997710027,87.6
2206,881f16ce27fffff,0.8548419,52.3062751775638,6.528254945954644,85.5
2207,881f16ce29fffff,0.81883657,52.32011075005495,6.520857456569604,81.9
2208,881f16ce2bfffff,0.8675673,52.31917424981757,6.533366991660954,86.8
2209,881f16ce31fffff,0.85582834,52.31729703473077,6.558387812368557,85.6
2210,881f16ce33fffff,0.8752467,52.3163563194229,6.570899095680407,87.5
2211,881f16ce35fffff,0.94254035,52.31131753519336,6.549574031286981,94.3
2212,881f16ce37fffff,0.8878865,52.31037746796943,6.562083647146648,88.8
2213,881f16ce39fffff,0.876662,52.324215619008186,6.554691285064832,87.7
2214,881f16ce3bfffff,0.8545867,52.3232756608155,6.5672036547816965,85.5
2215,881f16ce3dfffff,0.9000568,52.31823634478596,6.545877110644621,90.0
2216,881f16ce41fffff,0.7051201,52.34683663283997,6.518568038909179,70.5
2217,881f16ce43fffff,0.6572875,52.34590175716559,6.531082500348735,65.7
2218,881f16ce45fffff,0.7172944,52.34085673920547,6.509756026273962,71.7
2219,881f16ce47fffff,0.6265079,52.33992251119613,6.522268816708149,62.7
