IND_OBJ_KE,IND_WAARDE,IND_WAARD0,IND_OBJ_AA,IND_OBJ_NA,IND_OBJ_BE,IND_OBJ_GR,IND_PERIOD,IND_THEMA,IND_CULT_D,OBJECTID,x,y
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,WDN01023,hallehuisgroep (hallehuis - dwarshuistype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,1055.000000000000000,6.5630659972,52.2922080713
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,WDN01024,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,1056.000000000000000,6.5460617372,52.3270893747
,Gemeentelijk monument,,Ja,WDN01019,onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,1057.000000000000000,6.5790267166,52.2986639090
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,WDN01020,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,1058.000000000000000,6.5787717972,52.2989990529
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,WDN01014,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,1059.000000000000000,6.5918692447,52.3370586608
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,WDN01015,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,1060.000000000000000,6.5899358583,52.3214742756
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,WDN01016,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,1061.000000000000000,6.5044062816,52.3326761854
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,WDN01018,hallehuisgroep (hallehuis - dwarshuistype),boerderijtypen,,landbouw,Gebouwd erfgoed,1062.000000000000000,6.5447440893,52.3288819803
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"46926",hallehuisgroep (twentstype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,528.000000000000000,6.8488969010,52.4392609308
,Rijksbeschermd,,Ja,"47011",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,529.000000000000000,6.5485093641,52.3294213467
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"47013",hallehuisgroep (hallehuis- middenlangsdeeltype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,530.000000000000000,6.5553390127,52.3094436840
,Rijksbeschermd,,Ja,"480693",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,533.000000000000000,6.5913239804,52.2199724941
,Rijksbeschermd,,Ja,"507476",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,536.000000000000000,6.6207273018,52.4106609269
"koeien met kop naar muur, dekbalkgebint",Rijksbeschermd,,Ja,"507480",noordelijke huisgroep (kop-hals-romptype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,537.000000000000000,6.6990287501,52.4574140100
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507489",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,538.000000000000000,6.7032535492,52.2556425969
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507502",hallehuisgroep (krukhuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,539.000000000000000,6.7266909115,52.2622987544
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507506",hallehuisgroep (hallehuis - dwarshuistype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,540.000000000000000,6.7197117142,52.2657234587
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507619",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,541.000000000000000,6.7186676569,52.2786342442
,Rijksbeschermd,,Ja,"507623",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,542.000000000000000,6.7124562938,52.2732912075
"koeien met kop naar muur, dekbalkgebint",Rijksbeschermd,,Ja,"507706",noordelijke huisgroep (kop-romptype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,543.000000000000000,6.6729721853,52.3588567390
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507711",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,544.000000000000000,6.6962569647,52.3439321628
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507716",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,545.000000000000000,6.6569050501,52.3648097538
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507739",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,546.000000000000000,6.7794083990,52.1709400588
"koeien met kop naar muur, dekbalkgebint",Rijksbeschermd,,Ja,"507743",noordelijke huisgroep (kop-romptype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,547.000000000000000,6.7540525063,52.1864942353
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507786",hallehuisgroep (t-huisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,548.000000000000000,6.6963409619,52.2794096871
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507790",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,549.000000000000000,6.6790333092,52.2955946299
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507796",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,550.000000000000000,6.7203953073,52.2789673823
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507799",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,551.000000000000000,6.7072739649,52.2942028929
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507802",hallehuisgroep (hallehuis - dwarshuistype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,552.000000000000000,6.7177149439,52.2676887600
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507805",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,553.000000000000000,6.6421507164,52.2675480180
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507807",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,554.000000000000000,6.6277506676,52.2370784863
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507809",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,555.000000000000000,6.7168101087,52.2878368467
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507913",hallehuisgroep (hallehuis - dwarshuistype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,556.000000000000000,6.7409595764,52.3124524677
