IND_OBJ_KE,IND_WAARDE,IND_WAARD0,IND_OBJ_AA,IND_OBJ_NA,IND_OBJ_BE,IND_OBJ_GR,IND_PERIOD,IND_THEMA,IND_CULT_D,OBJECTID,x,y
,Rijksbeschermd,,Ja,"520454",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,611.000000000000000,6.5970184279,52.2196114225
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"526231",hallehuisgroep (t-huisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,613.000000000000000,6.7634878232,52.3014586163
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"527676",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,615.000000000000000,6.7403645028,52.2155153271
"ontginning woeste grond, rechthoekige plattegrond, eikengebintconstructie in drie beuken, zadeldak, grote raampartijen, sobere detaillering",Rijksbeschermd,,Ja,"512271",ontginningsboerderij (ontginningsboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,616.000000000000000,6.7388246432,52.2694366143
"ontginning woeste grond, rechthoekige plattegrond, eikengebintconstructie in drie beuken, zadeldak, grote raampartijen, sobere detaillering",Rijksbeschermd,,Ja,"512272",ontginningsboerderij (ontginningsboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,617.000000000000000,6.7386614308,52.2710782138
,Rijksbeschermd,,Ja,"12885",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,61.000000000000000,6.5771208088,52.1957574280
,Rijksbeschermd,,Ja,"15285",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,67.000000000000000,6.7715679249,52.2235684233
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"15286",hallehuisgroep (hallehuis- middenlangsdeeltype),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,68.000000000000000,6.9036728006,52.1755531247
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"15287",hallehuisgroep (twentstype),boerderijtypen,,landbouw,Gebouwd erfgoed,69.000000000000000,6.8781137625,52.1772810160
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"15291",hallehuisgroep (twentstype),boerderijtypen,,landbouw,Gebouwd erfgoed,70.000000000000000,6.8329375493,52.2090351324
,Rijksbeschermd,,Ja,"15295",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,71.000000000000000,6.8491777460,52.1951537783
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"15296",hallehuisgroep (twentstype),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,72.000000000000000,6.9249085399,52.2121883740
,Rijksbeschermd,,Ja,"15298",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,73.000000000000000,6.8455566668,52.1962502822
,Rijksbeschermd,,Ja,"15300",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,74.000000000000000,6.9083263203,52.1966809310
,Rijksbeschermd,,Ja,"15305",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,75.000000000000000,6.9395096683,52.2515860048
,Rijksbeschermd,,Ja,"15306",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,76.000000000000000,6.9280041972,52.2471251065
,Rijksbeschermd,,Ja,"15311",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,77.000000000000000,6.8309215877,52.2064259885
,Rijksbeschermd,,Ja,"15313",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,78.000000000000000,6.8914525613,52.2584638547
,Rijksbeschermd,,Ja,"15315",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,79.000000000000000,6.8175353063,52.2247107866
,Rijksbeschermd,,Ja,"15316",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,80.000000000000000,6.8938186317,52.1863625653
,Rijksbeschermd,,Ja,"15317",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,81.000000000000000,6.8325466033,52.2303709825
,Rijksbeschermd,,Ja,"15318",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,82.000000000000000,6.8675952738,52.2252875024
,Rijksbeschermd,,Ja,"18853",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,92.000000000000000,6.7112783122,52.1413011987
,Rijksbeschermd,,Ja,"18854",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,93.000000000000000,6.8525961413,52.1363047530
,Rijksbeschermd,,Ja,"18856",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,94.000000000000000,6.6953278254,52.1361602331
,Rijksbeschermd,,Ja,"18858",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,95.000000000000000,6.8038329174,52.1620617313
,Rijksbeschermd,,Ja,"18859",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,96.000000000000000,6.6784125017,52.1941452097
,Rijksbeschermd,,Ja,"18860",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,97.000000000000000,6.6919694968,52.1443353782
,Rijksbeschermd,,Ja,"18864",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,98.000000000000000,6.8157355773,52.1441123818
,Rijksbeschermd,,Ja,"18865",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,99.000000000000000,6.7381842713,52.1435259448
,Rijksbeschermd,,Ja,"18870",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,100.000000000000000,6.7256958638,52.1421945618
,Rijksbeschermd,,Ja,"18871",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,101.000000000000000,6.7233423367,52.1341489115
,Rijksbeschermd,,Ja,"18872",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,102.000000000000000,6.7222131743,52.1334471117
,Rijksbeschermd,,Ja,"18875",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,103.000000000000000,6.7415715981,52.1480711881
,Rijksbeschermd,,Ja,"18884",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,104.000000000000000,6.7120576308,52.1358745224
,Rijksbeschermd,,Ja,"18885",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,105.000000000000000,6.7313032664,52.1353752169
,Rijksbeschermd,,Ja,"20002",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,106.000000000000000,6.4868360712,52.4756546538
,Rijksbeschermd,,Ja,"20003",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,107.000000000000000,6.4774660380,52.4716430087
,Rijksbeschermd,,Ja,"20004",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,108.000000000000000,6.4928886544,52.4724422302
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"512273",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,618.000000000000000,6.7412605913,52.2666846469
