IND_OBJ_KE,IND_WAARDE,IND_WAARD0,IND_OBJ_AA,IND_OBJ_NA,IND_OBJ_BE,IND_OBJ_GR,IND_PERIOD,IND_THEMA,IND_CULT_D,OBJECTID
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"513936",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,607.000000000000000
,Rijksbeschermd,,Ja,"7554",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,638.000000000000000
,Rijksbeschermd,,Ja,"520454",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,611.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"526231",hallehuisgroep (t-huisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,613.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"527676",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,615.000000000000000
"ontginning woeste grond, rechthoekige plattegrond, eikengebintconstructie in drie beuken, zadeldak, grote raampartijen, sobere detaillering",Rijksbeschermd,,Ja,"512271",ontginningsboerderij (ontginningsboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,616.000000000000000
"ontginning woeste grond, rechthoekige plattegrond, eikengebintconstructie in drie beuken, zadeldak, grote raampartijen, sobere detaillering",Rijksbeschermd,,Ja,"512272",ontginningsboerderij (ontginningsboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,617.000000000000000
,Rijksbeschermd,,Ja,"12885",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,61.000000000000000
,Rijksbeschermd,,Ja,"15285",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,67.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"15286",hallehuisgroep (hallehuis- middenlangsdeeltype),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,68.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"15287",hallehuisgroep (twentstype),boerderijtypen,,landbouw,Gebouwd erfgoed,69.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"15291",hallehuisgroep (twentstype),boerderijtypen,,landbouw,Gebouwd erfgoed,70.000000000000000
,Rijksbeschermd,,Ja,"15295",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,71.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"15296",hallehuisgroep (twentstype),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,72.000000000000000
,Rijksbeschermd,,Ja,"15298",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,73.000000000000000
,Rijksbeschermd,,Ja,"15300",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,74.000000000000000
,Rijksbeschermd,,Ja,"15305",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,75.000000000000000
,Rijksbeschermd,,Ja,"15306",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,76.000000000000000
,Rijksbeschermd,,Ja,"15311",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,77.000000000000000
,Rijksbeschermd,,Ja,"15313",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,78.000000000000000
,Rijksbeschermd,,Ja,"15315",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,79.000000000000000
,Rijksbeschermd,,Ja,"15316",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,80.000000000000000
,Rijksbeschermd,,Ja,"15317",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,81.000000000000000
,Rijksbeschermd,,Ja,"15318",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,82.000000000000000
,Rijksbeschermd,,Ja,"18853",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,92.000000000000000
,Rijksbeschermd,,Ja,"18854",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,93.000000000000000
,Rijksbeschermd,,Ja,"18856",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,94.000000000000000
,Rijksbeschermd,,Ja,"18858",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,95.000000000000000
,Rijksbeschermd,,Ja,"18859",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,96.000000000000000
,Rijksbeschermd,,Ja,"18860",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,97.000000000000000
,Rijksbeschermd,,Ja,"18864",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,98.000000000000000
,Rijksbeschermd,,Ja,"18865",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,99.000000000000000
,Rijksbeschermd,,Ja,"18870",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,100.000000000000000
,Rijksbeschermd,,Ja,"18871",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,101.000000000000000
,Rijksbeschermd,,Ja,"18872",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,102.000000000000000
,Rijksbeschermd,,Ja,"18875",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,103.000000000000000
,Rijksbeschermd,,Ja,"18884",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,104.000000000000000
,Rijksbeschermd,,Ja,"18885",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,105.000000000000000
,Rijksbeschermd,,Ja,"20002",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,106.000000000000000
,Rijksbeschermd,,Ja,"20003",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,107.000000000000000
,Rijksbeschermd,,Ja,"20004",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,108.000000000000000
