hex9,value
89196948617ffff,50
8919694861bffff,1035
89196948623ffff,360
89196948627ffff,250
8919694862bffff,320
8919694862fffff,760
89196948637ffff,70
8919694863bffff,455
89196948643ffff,395
89196948647ffff,715
8919694864bffff,650
8919694864fffff,490
89196948653ffff,440
89196948657ffff,615
8919694865bffff,30
89196948663ffff,240
89196948667ffff,110
8919694866bffff,875
8919694866fffff,495
89196948673ffff,465
89196948677ffff,620
8919694867bffff,675
89196948683ffff,705
89196948687ffff,560
8919694868bffff,235
8919694868fffff,280
89196948693ffff,620
89196948697ffff,595
8919694869bffff,905
891969486a3ffff,130
891969486abffff,165
891969486b3ffff,215
891969486bbffff,285
891969486c3ffff,500
891969486c7ffff,745
891969486cbffff,360
891969486cfffff,590
891969486d3ffff,790
891969486d7ffff,945
891969486dbffff,165
89196948803ffff,55
89196948813ffff,310
89196948817ffff,465
89196948843ffff,25
8919694884bffff,40
89196948853ffff,20
8919694885bffff,65
89196948883ffff,5
89196948887ffff,330
8919694888fffff,380
891969488a3ffff,400
891969488a7ffff,60
891969488afffff,145
891969488b3ffff,295
891969488b7ffff,80
891969488bbffff,760
891969488c7ffff,25
891969488cfffff,35
89196948907ffff,15
8919694890bffff,10
89196948947ffff,5
8919694894fffff,30
8919694898fffff,5
891969489a3ffff,5
891969489b7ffff,5
89196948a27ffff,10
89196948a2fffff,185
89196948a43ffff,5
89196948a4fffff,5
89196948a53ffff,20
89196948a87ffff,10
89196948ab3ffff,15
89196948b13ffff,5
89196948b43ffff,670
89196948b4bffff,345
89196948b53ffff,90
89196948b57ffff,5
89196948b5bffff,750
89196948b6bffff,25
89196948b6fffff,235
89196948b87ffff,5
89196948bb3ffff,10
89196948bc7ffff,5
89196948bcbffff,25
89196948bcfffff,55
89196948c0fffff,10
89196948c13ffff,5
89196948c1bffff,15
89196948c8fffff,5
89196948d0fffff,5
89196948d23ffff,10
89196948d27ffff,10
89196948d3bffff,15
89196948d43ffff,175
89196948d47ffff,410
89196948d4bffff,185
89196948d4fffff,445
89196948d73ffff,125
89196948d7bffff,55
89196948d83ffff,10
89196948d87ffff,20
89196948d97ffff,10
89196948d9bffff,10
89196948da3ffff,30
89196948da7ffff,5
