hex9,value
89196949407ffff,65
8919694940bffff,135
8919694940fffff,90
89196949413ffff,330
89196949417ffff,20
8919694941bffff,80
89196949423ffff,155
89196949427ffff,185
8919694942bffff,365
8919694942fffff,450
89196949433ffff,460
89196949437ffff,450
8919694943bffff,340
89196949443ffff,70
89196949447ffff,180
8919694944fffff,240
89196949463ffff,385
89196949467ffff,260
8919694946bffff,360
8919694946fffff,535
89196949473ffff,350
89196949477ffff,310
8919694947bffff,335
89196949483ffff,285
89196949487ffff,225
8919694948bffff,200
8919694948fffff,155
89196949497ffff,105
8919694949bffff,90
891969494a3ffff,330
891969494a7ffff,510
891969494abffff,375
891969494afffff,540
891969494b3ffff,495
891969494b7ffff,405
891969494bbffff,195
891969494c3ffff,335
891969494c7ffff,280
891969494cbffff,10
891969494cfffff,135
891969494d3ffff,275
891969494d7ffff,215
891969494dbffff,15
89196949503ffff,225
89196949507ffff,455
8919694950bffff,470
8919694950fffff,535
89196949513ffff,330
89196949517ffff,325
8919694951bffff,405
89196949523ffff,15
8919694952bffff,570
89196949533ffff,300
8919694953bffff,655
89196949543ffff,345
89196949547ffff,470
8919694954bffff,260
8919694954fffff,485
89196949553ffff,370
89196949557ffff,545
8919694955bffff,415
89196949563ffff,305
89196949567ffff,95
8919694956bffff,90
8919694956fffff,50
89196949573ffff,220
89196949577ffff,340
8919694957bffff,160
89196949583ffff,305
89196949587ffff,270
8919694958bffff,795
8919694958fffff,435
89196949593ffff,340
89196949597ffff,510
8919694959bffff,585
891969495a3ffff,250
891969495a7ffff,285
891969495abffff,370
891969495afffff,0
891969495b3ffff,400
891969495b7ffff,215
891969495bbffff,250
891969495c3ffff,545
891969495c7ffff,505
891969495cbffff,400
891969495cfffff,310
891969495d3ffff,635
891969495d7ffff,680
891969495dbffff,665
89196949617ffff,30
89196949623ffff,350
89196949627ffff,370
8919694962bffff,115
8919694962fffff,220
89196949633ffff,90
89196949637ffff,275
8919694963bffff,10
8919694966bffff,0
8919694968fffff,5
891969496a3ffff,95
891969496a7ffff,335
891969496abffff,75
891969496afffff,285
891969496b3ffff,90
891969496b7ffff,5
891969496bbffff,0
891969496c3ffff,0
891969496cbffff,0
891969496cfffff,0
891969496d7ffff,0
89196949817ffff,0
8919694982bffff,0
89196949843ffff,0
89196949847ffff,0
8919694984fffff,65
89196949857ffff,5
89196949867ffff,10
8919694986bffff,0
891969498abffff,0
891969498b7ffff,0
891969498bbffff,0
891969498cfffff,0
89196949923ffff,340
89196949927ffff,350
8919694992bffff,135
8919694992fffff,295
89196949933ffff,35
89196949937ffff,315
8919694993bffff,35
89196949947ffff,5
89196949963ffff,130
89196949967ffff,310
8919694996bffff,85
8919694996fffff,265
89196949977ffff,90
891969499afffff,25
89196949a13ffff,75
89196949a17ffff,5
89196949a1bffff,5
89196949a37ffff,0
89196949a43ffff,0
89196949a4fffff,0
89196949a57ffff,25
89196949a83ffff,5
89196949a87ffff,5
89196949a8fffff,25
89196949a97ffff,5
89196949aa3ffff,120
89196949ab3ffff,140
89196949ab7ffff,155
89196949abbffff,65
89196949ac3ffff,0
89196949ac7ffff,5
89196949acbffff,5
89196949acfffff,0
89196949b07ffff,0
89196949b23ffff,15
89196949b27ffff,85
89196949b2bffff,5
89196949b2fffff,385
89196949b37ffff,55
89196949b93ffff,0
89196949c03ffff,100
89196949c0bffff,235
89196949c0fffff,80
89196949c1bffff,165
89196949c23ffff,20
