hex9,value
8919694132bffff,E1065N4627E1064N4628E1065N4628E1066N4628E1067N4628E1064N4629E1065N4629E1066N4629
8919694132fffff,E1066N4625E1067N4625E1068N4625E1066N4626E1067N4626E1068N4626E1069N4626E1066N4627E1067N4627E1068N4627E1069N4627
89196941337ffff,E1071N4630
8919694133bffff,E1067N4630E1067N4631
8919694134fffff,E1055N4634
89196941363ffff,E1059N4629E1060N4629E1061N4629E1059N4630E1060N4630E1061N4630E1062N4630
89196941367ffff,E1063N4627E1063N4628E1063N4629E1062N4627E1061N4628E1062N4628E1062N4629
8919694136bffff,E1057N4628E1056N4629E1057N4629E1058N4629E1056N4630E1057N4630E1058N4630E1057N4631
8919694136fffff,E1058N4626E1059N4626E1058N4627E1059N4627E1060N4627E1058N4628E1059N4628E1060N4628
89196941373ffff,E1062N4632
89196941377ffff,E1063N4630E1063N4631E1064N4631E1063N4632
8919694137bffff,E1060N4632E1059N4633
891969413b3ffff,E1076N4639
89196941403ffff,E1086N4679
89196941407ffff,E1087N4676E1088N4676E1087N4677E1088N4677E1087N4678E1086N4676E1085N4677E1086N4677E1086N4678
8919694140fffff,E1082N4675E1083N4675E1084N4675E1082N4676E1083N4676E1084N4676E1085N4676E1083N4677E1084N4677
89196941417ffff,E1088N4678E1087N4679
89196941423ffff,E1087N4673
8919694142bffff,E1083N4670E1083N4671E1084N4672
89196941433ffff,E1088N4673E1087N4674E1088N4674E1089N4674E1088N4675E1089N4675E1090N4675
8919694143bffff,E1084N4673E1085N4673E1086N4673E1084N4674E1085N4674E1086N4674E1085N4675E1086N4675
89196941467ffff,E1080N4669E1081N4670E1082N4670E1081N4671E1082N4671
8919694146bffff,E1075N4672
8919694146fffff,E1078N4668E1078N4669E1079N4669
89196941473ffff,E1081N4675
89196941477ffff,E1082N4673E1083N4673E1082N4674E1083N4674E1083N4672
891969414a3ffff,E1093N4677
891969414abffff,E1089N4676E1090N4676E1089N4677E1091N4677E1089N4678
891969414afffff,E1091N4675E1092N4675E1091N4676E1092N4676
891969414b3ffff,E1095N4681E1096N4681E1095N4682
89196941503ffff,E1097N4663E1098N4662E1098N4663E1098N4664E1099N4664
89196941507ffff,E1101N4661
8919694150fffff,E1098N4660E1098N4661E1096N4660E1097N4660E1096N4661E1097N4661
89196941513ffff,E1098N4665E1100N4665E1101N4666E1101N4667
89196941517ffff,E1100N4664E1101N4664
8919694151bffff,E1096N4664E1097N4664E1095N4665E1096N4665E1097N4665E1095N4666
89196941523ffff,E1101N4654E1100N4655
89196941527ffff,E1102N4652E1102N4653E1102N4654E1103N4654
89196941533ffff,E1101N4657E1102N4657E1103N4659
89196941537ffff,E1103N4655E1103N4656E1104N4656E1104N4657
8919694153bffff,E1098N4657
89196941543ffff,E1090N4662E1091N4663
89196941547ffff,E1092N4663
8919694154fffff,E1088N4660E1088N4661E1089N4661E1090N4661
89196941557ffff,E1092N4664E1093N4665
89196941563ffff,E1091N4656E1092N4656
8919694156bffff,E1090N4655
8919694156fffff,E1090N4654
89196941573ffff,E1093N4658E1093N4659E1094N4659E1095N4659E1094N4660E1095N4660
8919694157bffff,E1090N4657E1091N4657E1092N4658
89196941583ffff,E1105N4670
8919694158bffff,E1102N4668
89196941593ffff,E1105N4673
8919694159bffff,E1101N4672E1102N4673
891969415abffff,E1102N4660E1103N4660E1102N4661E1103N4661E1104N4662
891969415afffff,E1104N4658
891969415bbffff,E1104N4664
891969415c7ffff,E1097N4668E1098N4669
891969415cfffff,E1094N4666E1094N4667E1095N4667E1096N4667
891969415d7ffff,E1100N4671
89196941603ffff,E1061N4673E1061N4674E1061N4675
89196941607ffff,E1063N4671E1063N4672
8919694160bffff,E1059N4672E1059N4673E1060N4673
8919694160fffff,E1061N4670E1059N4671E1060N4671E1061N4671E1062N4671E1060N4672E1061N4672E1062N4672
8919694161bffff,E1060N4678E1060N4676E1061N4676E1059N4677E1060N4677
89196941633ffff,E1066N4671
89196941657ffff,E1058N4677
89196941673ffff,E1059N4670
891969416a3ffff,E1071N4672E1070N4673
891969416abffff,E1067N4674
891969416b7ffff,E1073N4674
891969416c3ffff,E1059N4681E1060N4681E1059N4682E1060N4682E1059N4683
891969416c7ffff,E1060N4679E1061N4679E1060N4680E1061N4680E1061N4681
891969416cfffff,E1059N4678E1059N4679E1058N4678
89196941803ffff,E1093N4605
89196941883ffff,E1100N4612E1099N4613
89196941887ffff,E1101N4610E1102N4610
89196941893ffff,E1100N4613E1101N4613E1099N4614E1100N4614E1101N4614
89196941897ffff,E1101N4611E1102N4611E1101N4612
8919694189bffff,E1096N4613E1096N4614E1097N4613E1097N4614E1098N4614E1098N4615
8919694196fffff,E1099N4578E1100N4578E1098N4579
89196941987ffff,E1115N4593
89196941a23ffff,E1072N4591
