hex9,value
89196949157ffff,0
8919694915bffff,549
89196949187ffff,384
8919694918bffff,0
8919694919bffff,1495
891969491a3ffff,0
891969491a7ffff,857
891969491b3ffff,251
891969491bbffff,686
891969491c3ffff,911
891969491c7ffff,0
891969491cbffff,1152
891969491d3ffff,2568
891969491d7ffff,0
891969491dbffff,2582
89196949243ffff,2195
89196949247ffff,0
8919694924bffff,4595
8919694924fffff,0
89196949253ffff,4093
89196949257ffff,0
8919694925bffff,4814
8919694926bffff,828
8919694926fffff,0
8919694927bffff,731
89196949297ffff,1203
891969492c3ffff,1007
891969492cbffff,1150
891969492cfffff,824
891969492d3ffff,0
891969492dbffff,1703
89196949303ffff,1743
89196949307ffff,2526
8919694930bffff,4294
8919694930fffff,3607
89196949313ffff,2759
89196949317ffff,2966
8919694931bffff,2062
89196949323ffff,4197
8919694932bffff,2407
8919694932fffff,1785
89196949333ffff,3091
89196949337ffff,1074
8919694933bffff,3560
89196949343ffff,1771
89196949347ffff,4394
8919694934bffff,824
8919694934fffff,1963
89196949353ffff,2675
89196949357ffff,4369
8919694935bffff,328
89196949363ffff,4026
89196949367ffff,3113
8919694936bffff,4265
8919694936fffff,3158
89196949373ffff,2956
89196949377ffff,875
8919694937bffff,3250
89196949383ffff,1319
89196949387ffff,6140
8919694938bffff,4433
8919694938fffff,3959
89196949393ffff,0
89196949397ffff,1426
8919694939bffff,1365
891969493a3ffff,2497
891969493abffff,2729
891969493afffff,1050
891969493b3ffff,7716
891969493b7ffff,2417
891969493bbffff,2737
891969493c3ffff,884
891969493c7ffff,1633
891969493cfffff,2016
891969493d3ffff,341
891969493d7ffff,4380
89196949407ffff,653
8919694940bffff,752
8919694940fffff,1778
89196949413ffff,1429
89196949417ffff,0
8919694941bffff,678
89196949423ffff,2857
89196949427ffff,4589
8919694942bffff,4061
8919694942fffff,3534
89196949433ffff,2800
89196949437ffff,3468
8919694943bffff,2484
89196949443ffff,166
89196949447ffff,997
8919694944fffff,2169
89196949463ffff,2316
89196949467ffff,2336
8919694946bffff,1501
8919694946fffff,2522
89196949473ffff,2633
89196949477ffff,3250
8919694947bffff,2686
89196949483ffff,3622
89196949487ffff,1592
8919694948bffff,4736
8919694948fffff,5109
89196949497ffff,777
8919694949bffff,2204
891969494a3ffff,3613
891969494a7ffff,3742
891969494abffff,2218
891969494afffff,2969
891969494b3ffff,2912
891969494b7ffff,2385
891969494bbffff,1625
891969494c3ffff,4259
891969494c7ffff,1019
891969494cbffff,0
891969494cfffff,432
891969494d3ffff,5743
891969494d7ffff,4982
891969494dbffff,1158
89196949503ffff,4619
89196949507ffff,4368
8919694950bffff,2963
8919694950fffff,4562
89196949513ffff,3726
89196949517ffff,7078
8919694951bffff,4686
89196949523ffff,256
8919694952bffff,1164
89196949533ffff,2945
8919694953bffff,3584
89196949543ffff,4967
89196949547ffff,3746
8919694954bffff,1891
8919694954fffff,2472
89196949553ffff,5202
89196949557ffff,4934
8919694955bffff,3269
89196949563ffff,2388
89196949567ffff,415
8919694956bffff,491
8919694956fffff,563
89196949573ffff,1823
89196949577ffff,999
8919694957bffff,522
89196949583ffff,2184
89196949587ffff,4864
8919694958bffff,4224
8919694958fffff,5353
89196949593ffff,2073
89196949597ffff,2864
8919694959bffff,2747
891969495a3ffff,3254
891969495a7ffff,3032
891969495abffff,4001
891969495afffff,300
891969495b3ffff,3960
891969495b7ffff,3961
891969495bbffff,4840
891969495c3ffff,3554
891969495c7ffff,2991
891969495cbffff,4116
891969495cfffff,3592
891969495d3ffff,3401
891969495d7ffff,3710
891969495dbffff,3867
89196949617ffff,1038
89196949623ffff,3069
89196949627ffff,2509
8919694962bffff,781
8919694962fffff,2769
89196949633ffff,941
89196949637ffff,2490
8919694963bffff,403
8919694966bffff,0
8919694968fffff,0
891969496a3ffff,803
891969496a7ffff,2456
891969496abffff,1893
891969496afffff,3364
891969496b3ffff,0
891969496b7ffff,0
891969496bbffff,0
891969496c3ffff,0
891969496cbffff,0
891969496cfffff,0
891969496d7ffff,0
89196949817ffff,0
8919694982bffff,0
89196949843ffff,0
89196949847ffff,0
8919694984fffff,1050
89196949857ffff,0
89196949867ffff,790
8919694986bffff,0
891969498abffff,0
891969498b7ffff,0
891969498bbffff,0
891969498cfffff,0
89196949923ffff,2263
89196949927ffff,2206
8919694992bffff,2490
8919694992fffff,2270
89196949933ffff,1196
89196949937ffff,2848
8919694993bffff,667
89196949947ffff,0
89196949963ffff,3061
89196949967ffff,3391
8919694996bffff,1844
8919694996fffff,3497
89196949977ffff,1226
891969499afffff,1274
89196949a13ffff,2053
89196949a17ffff,565
89196949a1bffff,0
89196949a37ffff,0
89196949a43ffff,0
89196949a4fffff,347
89196949a57ffff,747
89196949a83ffff,0
89196949a87ffff,0
89196949a8fffff,464
89196949a97ffff,0
89196949aa3ffff,1409
89196949ab3ffff,1441
89196949ab7ffff,1607
89196949abbffff,2226
89196949ac3ffff,0
89196949ac7ffff,0
89196949acbffff,0
89196949acfffff,0
89196949b07ffff,0
89196949b23ffff,352
89196949b27ffff,1078
89196949b2bffff,0
89196949b2fffff,2337
89196949b37ffff,603
89196949b93ffff,0
89196949c03ffff,1517
89196949c0bffff,3091
89196949c0fffff,710
89196949c1bffff,2970
89196949c23ffff,1055
89196949c27ffff,416
89196949c2bffff,827
89196949c2fffff,1721
89196949c3bffff,2288
89196949c43ffff,368
89196949c47ffff,1509
89196949c4fffff,0
89196949c53ffff,633
89196949c57ffff,3130
89196949c5bffff,0
89196949c73ffff,1491
89196949c77ffff,0
89196949cc3ffff,3204
89196949cc7ffff,0
89196949ccbffff,1413
89196949ccfffff,2862
89196949cd3ffff,888
89196949cdbffff,1057
89196949d0bffff,466
89196949d1bffff,0
89196949d47ffff,0
89196949db3ffff,0
89196949dc7ffff,446
89196949dd3ffff,510
89196949dd7ffff,0
89196949e2fffff,0
89196949ea3ffff,0
89196949eafffff,0
8919694a017ffff,0
8919694a033ffff,0
8919694a037ffff,0
8919694a04bffff,1144
8919694a04fffff,589
8919694a063ffff,0
8919694a06bffff,114
8919694a06fffff,0
8919694a07bffff,0
8919694a087ffff,349
8919694a08bffff,798
8919694a08fffff,563
8919694a093ffff,0
8919694a097ffff,365
8919694a09bffff,0
8919694a0b3ffff,0
8919694a0cbffff,0
8919694a107ffff,1318
8919694a113ffff,2185
8919694a117ffff,2066
8919694a11bffff,0
8919694a133ffff,969
8919694a137ffff,427
8919694a177ffff,0
8919694a183ffff,655
8919694a187ffff,664
8919694a18bffff,1520
8919694a18fffff,3393
8919694a19bffff,531
8919694a1a3ffff,2429
8919694a1a7ffff,581
8919694a1abffff,2342
8919694a1afffff,3470
8919694a1bbffff,3525
8919694a1c7ffff,258
8919694a1cfffff,0
8919694a227ffff,2247
8919694a22fffff,960
8919694a233ffff,0
8919694a237ffff,0
8919694a293ffff,916
8919694a297ffff,1388
8919694a2cbffff,678
8919694a2dbffff,0
8919694a347ffff,0
8919694a34bffff,0
8919694a353ffff,1307
8919694a35bffff,2569
8919694a363ffff,0
8919694a367ffff,0
8919694a383ffff,0
8919694a3a3ffff,0
8919694a3bbffff,0
8919694a3cbffff,1421
8919694a3cfffff,0
8919694a3dbffff,0
8919694a403ffff,871
8919694a407ffff,3490
8919694a40bffff,547
8919694a40fffff,482
8919694a413ffff,0
8919694a417ffff,1186
8919694a41bffff,553
8919694a423ffff,785
8919694a427ffff,2011
8919694a42bffff,958
8919694a433ffff,3460
8919694a437ffff,2437
8919694a43bffff,408
8919694a447ffff,356
8919694a457ffff,1054
8919694a467ffff,0
8919694a477ffff,0
8919694a483ffff,2206
8919694a487ffff,3297
8919694a48bffff,309
8919694a48fffff,2552
8919694a493ffff,486
8919694a497ffff,1121
8919694a4a3ffff,2734
8919694a4a7ffff,2318
8919694a4abffff,4189
8919694a4afffff,3040
8919694a4b3ffff,2366
8919694a4b7ffff,2241
8919694a4bbffff,2712
8919694a4c3ffff,1432
8919694a4c7ffff,900
8919694a4cfffff,389
8919694a4d3ffff,438
8919694a4d7ffff,0
8919694a543ffff,1986
8919694a547ffff,1765
8919694a54fffff,407
8919694a553ffff,965
8919694a55bffff,2197
8919694a563ffff,0
8919694a567ffff,0
8919694a573ffff,456
8919694a57bffff,888
8919694a5c3ffff,484
8919694a5cbffff,1123
8919694a5d3ffff,1611
8919694a5dbffff,0
8919694a60fffff,1878
8919694a613ffff,0
8919694a61bffff,0
8919694a62bffff,1550
8919694a62fffff,0
8919694a657ffff,0
8919694a663ffff,1810
8919694a667ffff,389
8919694a66fffff,0
8919694a673ffff,1821
8919694a677ffff,2887
8919694a67bffff,0
8919694a6c7ffff,545
8919694a80fffff,0
8919694a813ffff,0
8919694a843ffff,0
8919694a847ffff,803
8919694a84fffff,236
8919694a86fffff,0
8919694a877ffff,0
8919694a87bffff,0
8919694a887ffff,198
8919694a88bffff,308
8919694a88fffff,0
8919694a893ffff,339
8919694a897ffff,1387
8919694a8a3ffff,955
8919694a8a7ffff,1893
8919694a8afffff,1044
8919694a8b7ffff,1835
8919694a8bbffff,0
8919694a8c7ffff,0
8919694a8cbffff,0
8919694a8cfffff,0
8919694a903ffff,2682
8919694a907ffff,3882
8919694a90bffff,2086
8919694a90fffff,3345
8919694a913ffff,1436
8919694a917ffff,2141
8919694a91bffff,1355
8919694a923ffff,2324
8919694a92bffff,3715
8919694a933ffff,2937
8919694a937ffff,574
8919694a93bffff,3767
8919694a943ffff,3658
8919694a947ffff,2742
8919694a94bffff,2616
8919694a94fffff,3578
8919694a953ffff,1797
8919694a957ffff,3053
8919694a95bffff,700
8919694a963ffff,3779
8919694a967ffff,4599
8919694a96bffff,4120
8919694a96fffff,3483
8919694a973ffff,2992
8919694a977ffff,3484
8919694a97bffff,3832
8919694a983ffff,2740
8919694a987ffff,3772
8919694a98bffff,1604
8919694a98fffff,2532
8919694a993ffff,2077
8919694a997ffff,2829
8919694a99bffff,3241
8919694a9a3ffff,3186
8919694a9a7ffff,2340
8919694a9abffff,2428
8919694a9afffff,1219
8919694a9b3ffff,3197
8919694a9b7ffff,3701
8919694a9bbffff,2662
8919694a9c3ffff,487
8919694a9c7ffff,2233
8919694a9cbffff,0
8919694a9cfffff,1224
8919694a9d3ffff,1535
8919694a9d7ffff,1569
8919694a9dbffff,1142
8919694aa03ffff,2940
8919694aa07ffff,1885
8919694aa0bffff,2399
8919694aa0fffff,2196
8919694aa13ffff,2347
8919694aa17ffff,3290
8919694aa1bffff,3125
8919694aa33ffff,0
8919694aa43ffff,1066
8919694aa47ffff,2161
8919694aa4fffff,3611
8919694aa57ffff,413
8919694aa63ffff,1860
8919694aa6bffff,1379
8919694aa73ffff,2332
8919694aa77ffff,424
8919694aa7bffff,2909
8919694aa83ffff,1234
8919694aa8bffff,505
8919694aa8fffff,1991
8919694aa93ffff,0
8919694aa9bffff,1249
8919694aaa3ffff,954
8919694aaa7ffff,0
8919694aaabffff,2843
8919694aaafffff,0
8919694aab7ffff,0
8919694aac7ffff,2424
8919694aacfffff,787
8919694aad7ffff,0
8919694ab0bffff,0
8919694ab87ffff,469
8919694abb3ffff,1638
8919694abb7ffff,2333
8919694ac03ffff,1425
8919694ac07ffff,1374
8919694ac13ffff,2263
8919694ac17ffff,2282
8919694ac1bffff,4164
8919694ac23ffff,1893
8919694ac27ffff,1457
8919694ac2bffff,550
8919694ac2fffff,2136
8919694ac33ffff,2198
8919694ac37ffff,1761
8919694ac3bffff,0
8919694ac53ffff,0
8919694ac8fffff,339
8919694aca3ffff,1091
8919694aca7ffff,2630
8919694acabffff,2474
8919694acafffff,1302
8919694acb3ffff,1613
8919694acb7ffff,1186
8919694acbbffff,2703
8919694acc3ffff,916
8919694acc7ffff,0
8919694accbffff,921
8919694accfffff,718
8919694acdbffff,2097
8919694ad03ffff,1920
8919694ad07ffff,1710
8919694ad0bffff,3403
8919694ad0fffff,2816
8919694ad13ffff,1388
8919694ad17ffff,1598
8919694ad1bffff,1935
8919694ad23ffff,815
8919694ad27ffff,284
8919694ad2bffff,1820
8919694ad2fffff,2043
8919694ad3bffff,1293
8919694ad43ffff,3838
8919694ad47ffff,2063
8919694ad4bffff,278
8919694ad4fffff,1710
8919694ad53ffff,768
8919694ad57ffff,2014
8919694ad5bffff,3558
8919694ad63ffff,1669
8919694ad67ffff,2987
8919694ad6bffff,1342
8919694ad6fffff,1598
8919694ad73ffff,2278
8919694ad77ffff,2808
8919694ad7bffff,1658
8919694ad83ffff,1759
8919694ad87ffff,1854
8919694ad8bffff,2544
8919694ad8fffff,1852
8919694ad93ffff,1636
8919694ad97ffff,2537
8919694ad9bffff,2504
8919694ada3ffff,2470
