hex9,value
89196945627ffff,0
8919694566bffff,0
8919694566fffff,100
89196945a2bffff,0
89196945a2fffff,0
89196945b23ffff,80
89196945b2bffff,0
89196945b33ffff,0
89196945b67ffff,0
89196945b6fffff,100
89196945bafffff,100
89196945bcfffff,90
89196945bd7ffff,0
89196948003ffff,0
89196948007ffff,80
89196948023ffff,100
89196948027ffff,450
89196948033ffff,0
89196948037ffff,0
8919694803bffff,80
89196948043ffff,460
89196948047ffff,180
8919694804bffff,920
8919694804fffff,660
89196948053ffff,70
8919694805bffff,470
891969480cbffff,170
89196948113ffff,190
89196948117ffff,0
8919694811bffff,470
89196948153ffff,60
89196948157ffff,0
8919694815bffff,90
89196948167ffff,100
8919694818fffff,0
891969481a7ffff,90
891969481b3ffff,370
891969481b7ffff,610
891969481bbffff,290
891969481c7ffff,70
891969481cbffff,110
891969481cfffff,330
89196948283ffff,620
89196948287ffff,260
8919694828bffff,170
89196948293ffff,790
89196948297ffff,750
8919694829bffff,620
891969482afffff,0
891969482b3ffff,180
891969482d3ffff,610
891969482d7ffff,300
891969482dbffff,70
89196948347ffff,180
89196948357ffff,200
89196948363ffff,80
8919694836bffff,100
8919694836fffff,0
8919694837bffff,0
891969483cfffff,200
89196948407ffff,0
89196948413ffff,150
89196948443ffff,0
8919694844bffff,680
8919694844fffff,0
8919694845bffff,0
89196948487ffff,0
8919694848bffff,200
89196948497ffff,290
891969484c3ffff,0
891969484d7ffff,0
8919694859bffff,90
89196948603ffff,930
89196948607ffff,690
8919694860bffff,680
8919694860fffff,640
89196948613ffff,230
89196948617ffff,230
8919694861bffff,780
89196948623ffff,480
89196948627ffff,590
8919694862bffff,500
8919694862fffff,770
89196948637ffff,220
8919694863bffff,510
89196948643ffff,430
89196948647ffff,650
8919694864bffff,480
8919694864fffff,600
89196948653ffff,710
89196948657ffff,680
8919694865bffff,100
89196948663ffff,550
89196948667ffff,350
8919694866bffff,600
8919694866fffff,450
89196948673ffff,530
89196948677ffff,640
8919694867bffff,410
89196948683ffff,750
89196948687ffff,620
8919694868bffff,330
8919694868fffff,300
89196948693ffff,660
89196948697ffff,600
8919694869bffff,800
891969486a3ffff,160
891969486abffff,300
891969486b3ffff,260
891969486bbffff,300
891969486c3ffff,590
