hex9,value
891969488a3ffff,200
891969488a7ffff,25
891969488afffff,75
891969488b3ffff,140
891969488b7ffff,40
891969488bbffff,385
891969488c7ffff,15
891969488cfffff,10
89196948907ffff,0
8919694890bffff,5
89196948947ffff,0
8919694894fffff,10
8919694898fffff,0
891969489a3ffff,0
891969489b7ffff,0
89196948a27ffff,0
89196948a2fffff,95
89196948a43ffff,0
89196948a4fffff,0
89196948a53ffff,5
89196948a87ffff,5
89196948ab3ffff,5
89196948b13ffff,0
89196948b43ffff,330
89196948b4bffff,165
89196948b53ffff,45
89196948b57ffff,0
89196948b5bffff,380
89196948b6bffff,15
89196948b6fffff,120
89196948b87ffff,0
89196948bb3ffff,0
89196948bc7ffff,0
89196948bcbffff,10
89196948bcfffff,20
89196948c0fffff,0
89196948c13ffff,0
89196948c1bffff,0
89196948c8fffff,0
89196948d0fffff,0
89196948d23ffff,0
89196948d27ffff,0
89196948d3bffff,0
89196948d43ffff,100
89196948d47ffff,220
89196948d4bffff,90
89196948d4fffff,220
89196948d73ffff,55
89196948d7bffff,25
89196948d83ffff,0
89196948d87ffff,0
89196948d97ffff,0
89196948d9bffff,0
89196948da3ffff,10
89196948da7ffff,0
89196948dabffff,0
89196948db7ffff,5
89196948dc3ffff,0
89196948dc7ffff,0
89196948ddbffff,0
89196948e07ffff,0
89196948e0fffff,0
89196948e2bffff,0
89196948e2fffff,0
89196948e3bffff,0
89196948e47ffff,0
89196948e4fffff,5
89196948e73ffff,0
89196948e77ffff,0
89196948e7bffff,5
89196949003ffff,360
89196949007ffff,205
8919694900bffff,270
8919694900fffff,355
89196949013ffff,15
8919694901bffff,165
89196949023ffff,305
89196949027ffff,120
8919694902bffff,165
8919694902fffff,95
89196949033ffff,150
89196949037ffff,390
8919694903bffff,320
89196949043ffff,430
89196949047ffff,400
8919694904bffff,55
8919694904fffff,30
89196949053ffff,130
89196949057ffff,390
8919694905bffff,470
89196949063ffff,25
8919694906fffff,135
89196949073ffff,365
89196949077ffff,325
8919694907bffff,45
89196949083ffff,490
89196949087ffff,335
8919694908bffff,165
8919694908fffff,370
89196949093ffff,140
89196949097ffff,490
8919694909bffff,10
891969490a3ffff,510
891969490a7ffff,270
891969490abffff,485
891969490afffff,400
891969490b3ffff,305
891969490b7ffff,275
891969490bbffff,510
891969490c3ffff,285
891969490c7ffff,40
891969490cbffff,425
891969490cfffff,515
891969490d3ffff,340
891969490d7ffff,235
891969490dbffff,270
89196949113ffff,0
89196949143ffff,5
8919694914bffff,70
8919694914fffff,25
89196949153ffff,50
89196949157ffff,5
8919694915bffff,35
89196949187ffff,15
8919694918bffff,5
8919694919bffff,55
891969491a3ffff,30
891969491a7ffff,35
891969491b3ffff,15
891969491bbffff,35
891969491c3ffff,105
891969491c7ffff,10
891969491cbffff,135
891969491d3ffff,340
891969491d7ffff,45
891969491dbffff,315
89196949243ffff,140
89196949247ffff,0
8919694924bffff,265
8919694924fffff,10
89196949253ffff,265
89196949257ffff,5
8919694925bffff,350
8919694926bffff,10
8919694926fffff,0
8919694927bffff,10
89196949297ffff,110
891969492c3ffff,10
891969492cbffff,95
891969492cfffff,75
891969492d3ffff,0
891969492dbffff,25
89196949303ffff,150
89196949307ffff,325
8919694930bffff,395
8919694930fffff,375
89196949313ffff,45
89196949317ffff,395
8919694931bffff,95
89196949323ffff,195
8919694932bffff,260
8919694932fffff,70
89196949333ffff,315
89196949337ffff,55
8919694933bffff,340
89196949343ffff,145
89196949347ffff,380
8919694934bffff,40
8919694934fffff,100
89196949353ffff,45
89196949357ffff,340
8919694935bffff,30
89196949363ffff,215
89196949367ffff,155
8919694936bffff,260
8919694936fffff,95
89196949373ffff,270
89196949377ffff,75
8919694937bffff,230
89196949383ffff,75
89196949387ffff,220
8919694938bffff,155
8919694938fffff,205
89196949393ffff,0
89196949397ffff,50
8919694939bffff,185
891969493a3ffff,260
891969493abffff,535
891969493afffff,160
891969493b3ffff,380
891969493b7ffff,50
891969493bbffff,190
891969493c3ffff,50
891969493c7ffff,175
891969493cfffff,90
891969493d3ffff,50
891969493d7ffff,360
89196949407ffff,75
8919694940bffff,170
8919694940fffff,110
89196949413ffff,320
89196949417ffff,0
8919694941bffff,95
89196949423ffff,170
89196949427ffff,175
8919694942bffff,425
8919694942fffff,500
89196949433ffff,470
89196949437ffff,455
8919694943bffff,350
89196949443ffff,65
89196949447ffff,250
8919694944fffff,245
89196949463ffff,425
89196949467ffff,255
8919694946bffff,460
8919694946fffff,550
89196949473ffff,380
89196949477ffff,300
8919694947bffff,360
89196949483ffff,305
89196949487ffff,205
8919694948bffff,250
8919694948fffff,145
89196949497ffff,100
8919694949bffff,85
891969494a3ffff,345
891969494a7ffff,535
891969494abffff,335
891969494afffff,630
891969494b3ffff,490
891969494b7ffff,355
891969494bbffff,165
891969494c3ffff,335
891969494c7ffff,305
891969494cbffff,10
891969494cfffff,190
891969494d3ffff,270
891969494d7ffff,220
891969494dbffff,10
89196949503ffff,270
89196949507ffff,500
8919694950bffff,535
8919694950fffff,575
89196949513ffff,410
89196949517ffff,350
8919694951bffff,410
89196949523ffff,20
8919694952bffff,700
89196949533ffff,345
8919694953bffff,675
89196949543ffff,375
89196949547ffff,495
8919694954bffff,240
8919694954fffff,515
89196949553ffff,410
89196949557ffff,645
8919694955bffff,460
89196949563ffff,305
89196949567ffff,90
8919694956bffff,75
8919694956fffff,45
89196949573ffff,225
89196949577ffff,420
8919694957bffff,215
89196949583ffff,385
89196949587ffff,295
8919694958bffff,1130
8919694958fffff,440
89196949593ffff,350
89196949597ffff,575
8919694959bffff,635
891969495a3ffff,300
891969495a7ffff,295
891969495abffff,430
891969495afffff,5
891969495b3ffff,480
891969495b7ffff,275
891969495bbffff,285
891969495c3ffff,710
891969495c7ffff,620
891969495cbffff,410
891969495cfffff,375
891969495d3ffff,715
891969495d7ffff,740
891969495dbffff,620
89196949617ffff,25
